code,name
41116014,Reactivos analizadores de análisis de orina
41116015,Reactivos o anticuerpos analizadores de citometría de flujo
41116016,Reactivo analizador de electrolitos
41116017,Reactivo contador automático de androginia y fertilidad
41116018,Reactivo analizador contador y medidor de tamaño de partículas
41116100,"Kits de ensayos manuales, controles de calidad, calibradores y normativas"
41116101,Kits o suministros de prueba de bancos de sangre
41116102,Reactivos o soluciones de bancos de sangre
41116103,Controles de calidad o calibradores o estándares de bancos de sangre
41116104,Kits o suministros para pruebas químicas
41116105,Reactivos o soluciones químicas
41116106,Tiras de prueba o papel de prueba químico
41116107,Controles de calidad o calibradores o estándares químicos
41116108,Kits o suministros para pruebas de coagulación
41116109,Reactivos o soluciones de coagulación
41116110,Controles de calidad o calibradores o estándares de coagulación
41116111,Kits o suministros para pruebas de citología
41116112,Controles de calidad o calibradores o estándares de citología
41116113,Reactivos o soluciones o tinturas para citología
41116116,Kits o suministros para pruebas ambientales
41116117,Reactivos o soluciones o tinturas ambientales
41116118,Kits o suministros para pruebas de alimentos
41116119,Reactivos o soluciones o tinturas para kits de pruebas de alimentos
41116120,Kits o suministros para pruebas de hematología
41116121,Reactivos o soluciones o tinturas para hematología
41116122,Controles de calidad o calibradores o estándares para hematología
41116123,Kits o suministros para pruebas de histología
41116124,Reactivos o soluciones o tinturas para histología
41116125,Controles de calidad o calibradores o estándares para histología
41116126,Kits o suministros para pruebas de inmunología o serología
41116127,Reactivos o soluciones o tinturas para inmunología o serología
41116128,Controles de calidad o calibradores o estándares para inmunología o serología
41116129,Kits o suministros para pruebas de microbiología o bacteriología
41116130,Reactivos o soluciones o tinturas para microbiología o bacteriología
41116131,Discos o paneles de identificación o sensibilidad para microbiología o bacteriología
41116132,Controles de calidad o calibradores o estándares para microbiología o bacteriología
41116133,Kits o suministros para pruebas de biología molecular
41116134,Reactivos o soluciones o tinturas para biología molecular
41116135,Controles de calidad o calibradores o estándares para biología molecular
41116136,Kits o suministros para análisis de orina
41116137,Reactivos o soluciones o tinturas para análisis de orina
41116138,Tiras para análisis de orina
41116139,Controles de calidad o calibradores o estándares de análisis de orina
41116140,Kits o suministros para parasitología o micología
41116141,Reactivos o soluciones o tinturas para parasitología o micología
41116142,Medio para parasitología o micología
41116143,Controles de calidad o calibradores o estándares de parasitología o micología
41116144,Kits o suministros para pruebas de virología
41116145,Controles de calidad o calibradores o estándares para virología
41116146,Kits o suministros para pruebas de toxicología
41116147,Controles de calidad o calibradores o estándares para toxicología
41116148,Kits o suministros para pruebas de citometría de flujo
41116149,Probador de lisado de limulus amebocita
41116150,Kits o suministros para pruebas de androgénesis y fertilidad
41116151,Controles de calidad o calibradores o estándares para androgénesis y fertilidad
41116152,Controles de calidad o calibradores o estándares para citometría de flujo
41116153,Controles de calidad o calibradores o estándares para inmunohistoquímica
41116154,Controles de calidad o calibradores o estándares para contar y determinar el tamaño de las partículas
41116155,Medio de crecimiento de cultura de células y biología molecular
41116156,Reactivos o soluciones o tinturas de virología
41116157,Medio de cultura de tejidos y células de virología
41116200,Suministros y equipo para lugares de tratamiento de pacientes
41116201,Monitores o medidores de glucosa
41116202,Monitores o medidores de colesterol
41116203,Accesorios para monitores o medidores
41116205,Kits de pruebas rápidas
41116206,Bebidas de diagnóstico para pruebas de laboratorio
41116207,Monitores o medidores de hemoglobina o hematocritos
41116208,Monitores o medidores de parámetros múltiples de química sanguínea
41116209,Monitores o medidores de múltiples parámetros de coagulación de la sangre
41116210,Monitores o medidores analizadores de aliento de desorden metabólico
41116211,Analizador de aliento de etanol
41116212,Controles de calidad o calibradores o estándares para monitores o medidores
41116300,Comprobadores de punto de inflamación para laboratorio
41116301,Probadores de punto de inflamación
41116302,Probador de incombustibilidad
41116303,Probador de inflamabilidad
41116304,Probador de punto de ignición
41116400,Instrumentos de medición de la aceleración y la vibración
41116401,Martillos de impacto
41116500,Piezas y accesorios de instrumentos
41116501,Diales o kits de diales de medición
41116502,Clip eléctrico
41121500,Equipo y suministros de pipetas y manipulación de líquidos
41121501,Sistemas de manipulación líquida automática o robótica
41121502,Diluidores de laboratorio
41121503,Pipeta de desplazamiento de aire multicanal manuales
41121504,Pipeta de desplazamiento de aire de un solo canal manuales
41121505,Pipeta de desplazamiento positivo de un solo canal manuales
41121506,Pipeta repetidoras de un solo canal manuales
41121507,Pipeta de un solo canal electrónicas
41121508,Pipeta multicanales electrónicas
41121509,Pipetas pasteur o de transferencia
41121510,Pipetas volumétricas
41121511,Pipetas serológicas
41121513,Pipetas de caída
41121514,Bombas de pipetas
41121515,Bombillos de pipetas
41121516,Dispensadores de tapas de botella
41121517,Insertos o accesorios para pipeteras
41121600,Puntas de pipeta
41121601,Filtro de boquilla de pipeta
41121602,Puntas de pipeta de barrera de aerosol
41121603,Puntas de pipeta de baja retención
41121604,Puntas de pipeta de referencia
41121605,Puntas de pipeta ultra micro
41121606,Puntas de pipeta de carga de gel
41121607,Puntas de pipeta universales
41121608,Puntas de pipeta robóticas
41121609,Puntas de pipeta de volumen variable
41121700,Tubos de ensayo
41121701,Tubos de ensayo general o multipropósito
41121702,Tubos micro centrífugos
41121703,Tubos centrífugos
41121704,Tubos criogénicos
41121705,Tubos de resonancia magnética nuclear nmr
41121706,Tubos de cultivo
41121707,Tubos de pruebas de separador
41121708,Tubos de pruebas de anti coagulación
41121709,Tubos capilares o hematocritos
41121710,Cierres o tapas para tubos de ensayo
41121711,Tubos o accesorios para pruebas de análisis de orina
41121712,Tubos viscosímetros
41121713,Analizador de tamaño de arena
41121800,Artículos de vidrio o plástico y suministros generales de laboratorio
41121801,Vasos de observación para laboratorio
41121802,Varillas para revolver para laboratorio
41121803,Vasos de precipitados para laboratorio
41121804,Redomas para laboratorio
41121805,Cilindros graduados para laboratorio
41121806,Frascos para laboratorio
41121807,Ampollas para laboratorio
41121808,Buretas para laboratorio
41121809,Embudos para laboratorio
41121810,Platos o frascos para tintura para laboratorio
41121811,Kits de micro química para laboratorio
41121812,Platos para laboratorio
41121813,Cubetas
41121814,Tapas o forros o forros deslizantes para laboratorio
41121815,Adaptadores o conectores o instalaciones para laboratorio
41121816,Tubo de vidrio para laboratorio
41121817,Vidrio curvado para laboratorio
41121818,Botella de almacenamiento para laboratorio
41121819,Botella de gotero y tapa de gotero
41122000,Jeringuillas de laboratorio o de muestreo
41122001,Jeringas de cromatografía
41122002,Agujas para jeringas de cromatografía
41122003,Adaptadores o accesorios para jeringa
41122004,Jeringas para muestras
41122100,Suministros de cultivo de tejido y cribado de alta definición
41122101,Platos o placas petri
41122102,Platos multi pocillo
41122103,Espátulas de células
41122104,Frascos de cultivo de tejidos
41122105,Botellas de cultivo rotatorias
41122106,Dispositivos de inoculación
41122107,Platos o placas o insertos recubiertos para cultivo de tejidos
41122108,Presillos o agujas para inoculación microbiológica
41122109,Almohadilla de petri
41122110,Dispensador de almohadillas de petri
41122200,Crisoles
41122201,Crisoles de vidrio
41122202,Crisoles cerámicos
41122203,Crisoles de metal
41122300,Protectores y revestimientos de banco de laboratorio
41122301,Protectores o revestimientos de mesa de trabajo
41122400,Instrumentos de laboratorio
41122401,"Barras giratorias, barras para revolver o gotas para revolver magnéticas"
41122402,Recuperadores magnéticos de barras giratorias o recuperadores de barras giratorias
41122403,Espátulas para laboratorio
41122404,Tenazas para laboratorio
41122405,Fórceps para laboratorio
41122406,Cuchillos para laboratorio
41122407,Escalpelos para laboratorio
41122408,Tijeras para laboratorio
41122409,Herramientas para laboratorio
41122410,Película sellante para laboratorio
41122411,Cronómetros o relojes para laboratorio
41122412,Sellantes de tubos para laboratorio
41122413,Pinzas para laboratorio
41122414,Cuchara para laboratorio
41122415,Cristales de bioseparación centrífuga
41122500,"Corchos, tapones y accesorios de laboratorio"
41122501,Corchos para laboratorio
41122502,Tapones para laboratorio
41122503,Porta corchos para laboratorio
41122600,Portaobjetos de laboratorio y suministros
41122601,Portaobjetos para microscopios
41122602,Portaobjetos de microscopio
41122603,Papel de lentes para microscopio
41122604,Hemocitómetros
41122605,Aceite de inmersión para microscopios
41122606,Dispensadores de portaobjetos para microscopio
41122607,Solución limpiadora de lentes para microscopio
41122700,Cintas y etiquetas de laboratorio
41122701,Etiquetas para portaobjetos o especímenes
41122702,Cintas etiquetadoras
41122703,Cintas de seguridad
41122704,Cintas contra alteración
41122800,"Estantes, soportes y bandejas de laboratorio"
41122801,Estantes o soportes para pipetas
41122802,Estantes para portaobjetos de microscopios
41122803,Estantes o soportes para tubos para sedimentación
41122804,Estantes para tubos de ensayo
41122805,Estantes para secado
41122806,Estantes para unidades de criopreservación
41122807,Bandejas para disección
41122808,Bandejas para propósitos generales
41122809,Estantes para placas petri
41122810,Estantes de almacenamiento de reactivos para la mesa de trabajo
41122811,Dispensador de tubos de cultivo y prueba
41123000,Desecadores y desecantes de laboratorio
41123001,Deshidratadores de frasco
41123002,Deshidratadores de gabinete
41123003,Desecantes
41123004,Deshidratadores de vacío
41123005,Contenedor de almacenamiento de disco desecante microbiológicamente susceptible
41123100,Suministros de diálisis para laboratorio
41123101,Tubos de diálisis
41123102,Pinzas de diálisis
41123103,Casete de diálisis
41123104,Membrana de diálisis
41123105,Porta casete de diálisis
41123200,Especímenes preservados y suministros
41123201,Portaobjetos preparados preservados
41123202,Animales y organismos preservados
41123300,Contenedores y armarios de almacenamiento general para laboratorio
41123302,Cajas o folders para portaobjetos para microscopios
41123303,Gabinetes para portaobjetos para microscopios
41123304,Cajas de almacenamiento criogénicas
41123305,Gabinetes para casetes de tejidos o histología
41123306,Accesorios para casetes de tejidos o histología
41123400,Dispositivos de dosificación
41123401,Tazas dosificadoras
41123402,Cucharas dosificadoras
41123403,Goteros dosificadores
42121500,Equipo veterinario
42121501,Probadores de presión sanguínea para uso veterinario
42121502,Probador quimiógrafo para uso veterinario
42121503,Probador pirogénico para uso veterinario
42121504,Equipo estereotóxico para uso veterinario
42121505,Electrocardiógrafo ecg para uso veterinario
42121506,Sets de instrumentos quirúrgicos para uso veterinario
42121507,Unidades o accesorios de inyección o succión para uso veterinario
42121508,Sets de botellas para uso veterinario
42121509,Termómetros clínicos para uso veterinario
42121510,Cajas de instrumentos o accesorios para uso veterinario
42121511,Estuches enrollables para instrumentos o accesorios de uso veterinario
42121512,Espéculos para uso veterinario
42121513,Instrumentos de castración para uso veterinario
42121514,Kits de fijación externa para uso veterinario
42121515,Limas o cortaúñas para uso veterinario
42121600,Productos veterinarios
42121601,Productos gastrointestinales para uso veterinario
42121602,Productos para sangre o formación de sangre para uso veterinario
42121603,Productos para el sistema respiratorio para uso veterinario
42121604,Productos para el sistema musculo esquelético o nervioso para uso veterinario
42121605,Productos para el sistema cardiovascular para uso veterinario
42121606,Productos dermatológicos o anti protozoarios para uso veterinario
42121607,Productos para el sistema sexual genital urinario u hormonales para uso veterinario
42121608,Productos dentales para uso veterinario
42121700,Mobiliario clínico veterinario
42121701,Tablas quirúrgicas para uso veterinario
42121702,Armarios de almacenamiento para uso veterinario
42121800,Equipo y suministros para inseminación artificial veterinaria
42121801,Máquina para inseminación artificial
42121802,Instrumento para recolección de semen
42121803,Estimulador de eyaculación eléctrico
42121804,Instrumento para empaquetar semen
42131500,Vestuario para pacientes
42131501,Petos para pacientes
42131502,Gorras para pacientes
42131503,Capas de examen para pacientes
42131504,Batas para pacientes
42131505,Camisas o chalecos para pacientes bebés
42131506,Chaquetas para pacientes
42131507,Pantuflas para pacientes
42131508,Pijamas para pacientes
42131509,Batas de hospital
42131510,Pantalones para pacientes
42131511,Prenda para hidroterapia
42131512,Gorra o sombrero o material para gorra para paciente bebé
42131600,Vestuario para el personal sanitario y artículos relacionados
42131601,Delantales o petos para personal médico
42131602,Cobertores de barba para personal médico
42131603,Blusas o blusones para personal médico
42131604,Gorro de quirófano para personal médico
42131605,Overoles para personal médico
42131606,Máscaras quirúrgicas o de aislamiento para personal médico
42131607,Chaquetas o batas para personal médico
42131608,Vestidos para cirugía para personal médico
42131609,Cubiertas para zapatos para personal médico
42131610,Protección de mangas para personal médico
42131611,Gorros o capuchas para cirujano
42131612,Batas de aislamiento para personal médico
42131613,Protectores de ojos o visores para personal médico
42131700,Prendas textiles quirúrgicas
42131701,Cortinas de cirugía
42131702,Batas de cirugía
42131704,Toallas de cirugía
42131705,Pantalones (“leggings”) de cirugía
42131706,Vestidos enteros de cirugía
42131707,Vestidos o cascos o máscaras faciales o accesorios de aislamiento de cirugía
42131708,Paquete o kit para limpieza quirúrgica o rotación de salas quirúrgicas 
42132100,Ropa blanca del hospital
42132101,Protectores de colchón o silla para hospital
42132102,Sábanas elásticas médicas
42132103,Cortinas de barrera para pacientes
42132104,Almohadas antimicrobianas para hospital
42132105,Sábanas para hospital
42132106,Colchas o cubrecamas para hospital
42132107,Cobijas para hospital
42132108,Fundas protectoras de almohada para hospital
42132200,Guantes y accesorios médicos
42132201,Cajas o dispensadores de guantes médicos
42132202,Protector de caucho para dedos.
42132203,Guantes de examen o para procedimientos no quirúrgicos
42132204,Recubrimientos interiores para guantes médicos
42132205,Guantes de cirugía
42141500,Bolas de algodón y copitos aplicadores
42141501,Bolas o fibra de algodón
42141502,Palitos (copitos) con punta de fibra
42141503,Toallitas de preparación de la piel
42141504,Aplicadores o absorbentes medicados
42141600,Palanganas y Bacinillas de cama y orinales y equipos de ingreso
42141601,Kits de admisión para el cuidado del paciente
42141602,Patos (bacinillas) para uso general
42141603,Recipientes para emesis (vómito)
42141605,Recipientes o cuencos para soluciones o mezclas médicas
42141606,Recipientes multipropósito para usos médicos
42141607,Orinales de uso general para pacientes
42141608,Bolsas o recubrimientos para patos (bacinillas)
42141700,Productos para la prevención de decúbito
42141701,Sistemas de presión alterna
42141702,Marcos o elevadores de cobijas
42141703,Cunas para extremidades
42141704,Recubrimientos para colchones
42141705,Almohadones o almohadillas o almohadas para la posición del paciente
42141800,Equipo de electroterapia
42141801,Unidades de combinación de electroterapia
42141802,Electrodos o accesorios para electroterapia
42141803,Cables o alambres de plomo para electroterapia
42141804,Simuladores galvánicos o farádicos
42141805,Estimuladores o kits neuromusculares
42141806,Unidades de diatermia de onda corta
42141807,Unidades de estimulación nerviosa eléctrica transcutánea
42141808,Electrodos de diatermia
42141809,Sets de estimulador muscular
42141810,Electrodo de iontoforesis
42141811,Sistema de terapia de ondas de choque extracorpóreas
42141812,Generador de electricidad estática para estimulación eléctrica
42141813,Dispositivo electro convulsivo
42141814,Estimulador de electricidad estática
42141815,Estimulador de ondas electromagnéticas de alta frecuencia
42141816,Estimulador de terapia electromagnética
42141817,Estimulador de pulso magnético
42141900,Suministros para la administración de enema
42141901,Baldes para enema
42141902,Bolsas para enema
42141903,Kits o accesorios para enema
42141904,Tubos o tapas o pinzas para enema
42141905,Jabones para enema
42142000,"Instrumentos de grado bajo ""floor grade"""
42142001,Fórceps o homeostatos de bajo grado
42142002,Cuchillo de bajo grado
42142003,Manijas para cuchillo de bajo grado
42142004,Corta uñas de bajo grado
42142005,Sujeta agujas de bajo grado
42142006,Retractores de bajo grado
42142007,Tijeras de bajo grado
42142100,Productos de terapia de frío y de calor
42142101,Cubiertas para productos para terapia de calor o frío
42142102,Unidades o accesorios de enfriamiento para almacenamiento frío para uso médico
42142103,Lámparas de calor o sus accesorios para uso médico
42142104,Hidro coladores o sus accesorios para uso médico
42142105,Unidades o sistemas de calentamiento o enfriamiento terapéutico
42142106,Cobijas o cortinas de calentamiento o enfriamiento terapéutico
42142107,Sistema y accesorios de terapia de compresión crio terapéutica
42142108,Almohadillas o compresas o bolsas de calentamiento o enfriamiento terapéutico
42142109,Guantes de terapia para terapia de calor o frío
42142110,Botellas para terapia de calor o frío
42142111,Bolsas o almohadas de hielo terapéuticas
42142112,Baños de parafina terapéuticos o sus accesorios
42142113,Máscaras para senos nasales terapéuticas
42142114,Pantalones terapéuticos para terapia fría o caliente
42142119,Aparatos de hipotermia
42142120,Manga terapéutica para terapia de crio compresión
42142121,Gabinete de vapor húmedo
42142200,Productos de hidroterapia
42142201,Baños o tanques de hidroterapia para las extremidades
42142202,Baños o tanques de hidroterapia para inmersión total del cuerpo
42142203,Accesorios para baños o tanques de hidroterapia
42142204,Asientos para baños de hidroterapia
42142300,Productos de documentación médica
42142301,Etiquetas médicas para uso general
42142302,Componentes o accesorios para sistemas de planillas médicas
42142303,Productos de identificación de pacientes
42142400,Productos médicos de vacío o de succión
42142401,Solidificadores de fluidos para uso médico
42142402,Cánulas o tubos o accesorios de succión para uso médico
42142403,Contenedores de succión para uso médico
42142404,Aplicaciones al vacío o de succión para uso médico
42142406,Sets o kits de succión para uso médico
42142407,Estuches para cánulas de succión para uso médico
42142500,Agujas de inyección y aspiración y accesorios
42142501,Agujas para amniocentesis
42142502,Agujas para anestesia
42142503,Agujas arteriales
42142504,Agujas para biopsia
42142505,Soportes para agujas de recolección de sangre
42142506,Agujas romas
42142507,Agujas mariposa
42142509,Bandejas o accesorios epidurales
42142510,Agujas de filtro
42142511,Tapas o dispositivos protectores o accesorios para agujas
42142512,Agujas de fístula
42142513,Agujas para procedimientos de radiología
42142514,Bandejas o agujas espinales
42142515,Agujas de tubo al vacío
42142516,Agujas de transferencia
42142517,Tubos de extensión
42142518,Productos o accesorios aspiradores para biopsia
42142519,Guías para agujas
42142520,Alfileres dispensadores
42142521,Agujas para recolección de sangre
42142522,Agujas quirúrgicas para oídos o narices o gargantas
42142523,Agujas hipodérmicas
42142524,Agujas o sets para grabar
42142525,Agujas de irrigación
42142526,Protectores de agujas
42142527,Alambres para limpiar agujas
42142528,Agujas o sets para punción del esternón
42142529,Bandejas para agujas o porta agujas
42142530,Agujas para procedimientos diagnósticos
42142531,Contenedores o carritos o accesorios para desecho de agujas o cuchillas u otros objetos afilados
42142532,Agujas o kits o accesorios para pericardiocentesis
42142533,Agujas para administración de puertos intravenosos o arteriales
42142534,Aguja interósea
42142535,Aguja o bandeja para bloqueo nervioso anestésico
42142536,Aguja y catéter para toracentesis o paracentesis
42142537,Set o bandeja para toracentesis
42142538,Set o bandeja para paracentesis
42142600,Jeringas y accesorios
42142601,Jeringas para aspiración o irrigación médica
42142602,Peras de caucho para usos médicos
42142603,Jeringas de cartucho para uso médico
42142604,Jeringas de punta de catéter para uso médico
42142605,Jeringas para oídos para uso médico
42142606,Jeringas de entrega medida para uso médico
42142607,Micro jeringas para uso médico
42142608,Jeringas sin agujas para uso médico
42142609,Jeringas con agujas para uso médico
42142610,Jeringas de medicación líquida oral
42142611,Jeringas de tuberculina
42142612,Sets de jeringas de irrigación
42142613,Pistolas de inyección
42142614,Aparatos o accesorios para inyección hipodérmica
42142615,Accesorios para jeringas
42142616,Jeringas de recolección de sangre
42142617,Jeringas de fuente
42142618,Kits de jeringas de análisis de gas en la sangre
42142619,Jeringa de lavado pre llenada
42142620,Controlador o pistola de inyección de aguja interósea
42142700,Suministros urológicos
42142701,Catéteres urinarios supra púbicos
42142702,Catéteres urinarios uretrales
42142703,Tapones o pinzas para catéteres urinarios
42142704, 
42142705,Tiras o sujetadores para bolsas de drenaje urinario
42142706,Bandejas o paquetes o kits para procedimientos urológicos
42142707,Tubos de irrigación urinaria
42142708,Adaptadores para instrumentos de urología
42142709,Accesorios o sets para nefrostomía
42142710,Tubos o accesorios para drenaje urinario
42142711,Sets de auscultación uretral
42142712,Sets o accesorios de remoción de cálculos
42142713,Cubiertas o sets urológicos
42142714,Percoladores urológicos
42142715,Kits o accesorios de cateterización urológica
42142716,Dispositivo pesario
42142717,Catéter o drenaje para nefrostomía
42142718,Dispositivo de soporte y alargamiento del pene
42142719,Uretrotomo
42142720,Catéter urinario externo masculino
42142721,Alambre guía o alambre de deslizamiento urológico
42142800,Suministros y equipos para terapia vascular y de compresión
42142801,Dispositivos o tubos para compresión secuencial vascular
42142802,Prendas o soporte para compresión o vasculares
42142900,Corrección de la visión o gafas cosméticas y productos relacionados
42142901,Anteojos
42142902,Lentes para anteojos
42142903,Monturas para anteojos
42142904,Hardware para anteojos
42142905,Anteojos de sol
42142906,Estuches para anteojos
42142907,Pañitos para limpiar anteojos
42142908,Kits para limpiar anteojos
42142909,Retenedores de anteojos
42142910,Estuches para lentes de contacto
42142911,Insertores o removedores de lentes de contacto
42142912,Medidores de radio de lentes de contacto
42142913,Lentes de contacto
42142914,Solución limpiadora o humidificadora de lentes de contacto
42143100,Equipo y suministros de obstetricia y ginecología
42143101,Catéteres o kits de cateterización intrauterina
42143102,Dispositivos o accesorios uterinos
42143103,Dispositivos o accesorios contraceptivos intrauterinos
42143104,Kits o accesorios para amniocentesis
42143105,Unidades o accesorios de extracción obstétrica
42143106,Kits o accesorios de drenaje ginecológico
42143107,Perinómetro
42143108,Cámara de descompresión abdominal
42143200,Equipo y suministros de tratamiento de la fertilidad y la esterilidad
42143201,Kits o accesorios de preparación de semen
42143202,Productos o kits o accesorios para el tratamiento de la impotencia
42143203,Catéter de inseminación artificial
42143204,Catéter de transferencia de embriones
42143300,Equipo y suministros de quimioterapia
42143301,Sets o kits de administración de quimioterapia
42143302,Almohadilla de preparación para quimioterapia
42143303,Bolsa para transportar quimioterapia
42143400,Equipo y suministros de control de hiperhidrosis
42143401,Equipos o accesorios para el control del sudor
42143500,Productos y accesorios de otorrinolaringología
42143501,Ayudas para la limpieza de moldes auditivos
42143502,Dispositivos o accesorios para irrigación nasal
42143503,Dispositivos o bombas para el control de la hemorragia nasal
42143504,Moldes auditivos o sus accesorios
42143505,Kits de reparación de moldes auditivos
42143506,Sets filiformes para la trompa de eustaquio
42143507,Paquetes de medicación de oídos
42143508,Capuchas de viento para oídos
42143509,Pegantes o cementos para moldes auditivos
42143510,Pantallas protectoras de viento para oídos
42143511,Ganchos de cera de oídos
42143512,Mechas para oídos
42143513,Instrumentos o accesorios otológicos
42143514,Sistema para lavado de oídos
42143600,Sujeciones y accesorios
42143601,Chalecos y chaquetas de fuerza (de restricción)
42143602,Elementos de restricción de cintura y torso
42143603,Elementos de restricción de extremidades
42143604,Elementos de restricción de cabeza no para ems
42143605,Correas o hebillas o accesorios o suministros de restricción
42143606,Elementos de restricción para todo el cuerpo
42143607,Sensores o alarmas o accesorios de movimiento de pacientes
42143608,Dispositivos o accesorios para estabilización o prevención de caídas de pacientes
42143609,Tablas o accesorios para restricción de pacientes
42143700,Sistemas y accesorios de fototerapia
42143701,Circuladores de aire o accesorios para fototerapia
42143702,Cobijas para fototerapia
42143703,Bombillos para fototerapia
42143704,Esteras de luz para fototerapia
42143705,Dispositivos de protección de pacientes para fototerapia
42143706,Unidades eléctricas para fototerapia
42143707,Calentadores de camas o accesorios para fototerapia
42143708,Chaleco para fototerapia
42143709,Radiador de luz visible
42143800,Instrumentos y suministros y equipos para la medición de presión urológica
42143801,Sistemas o accesorios para cistometría
42143802,Transductores para cistometría
42143803,Catéteres uro dinámicos
42143900,Productos para la incontinencia fecal
42143901,Bolsa o accesorios de recolección de incontinencia fecal
42143902,Sistema o kit de manejo fecal
42143903,Catéter de colon o tubo rectal
42144000,Partes y accesorios para dispositivos auditivos externos
42144001,Procesador de sonido externo para dispositivos auditivos implantados
42144002,Cable externo para dispositivos auditivos implantados
42144003,Audífonos procesadores de sonido externos para dispositivos auditivos implantados
42144004,Magneto externo para dispositivos auditivos implantados
42144005,Micrófono externo para dispositivos auditivos implantados
42144100,Productos para drenaje de la cavidad pleural
42144101,Unidad o contenedor o accesorios para drenaje de la cavidad pléurica
42144102,Tubo de pecho
42144103,Kit de tubos de pecho
42144200,Equipo de acupuntura
42144201,Aguja de acupuntura
42144202,Bolita o semilla magnética para acupuntura
42144203,Brazalete para acu presión
42144300,Productos de contra pulsación externa
42144301,Sistema de contra pulsación externa ecp
42144302,Mangas o pantalones para contra pulsación externa ecp
42151500,Suministros y equipos de odontología cosmética
